[04:47:26] Pages: 10, Time: 24.70s, Speed: 0.40 pages/sec
[04:47:40] Pages: 20, Time: 38.19s, Speed: 0.52 pages/sec
[04:47:50] Pages: 30, Time: 48.78s, Speed: 0.61 pages/sec
[04:48:03] Pages: 40, Time: 61.24s, Speed: 0.65 pages/sec
[04:48:11] Pages: 50, Time: 68.99s, Speed: 0.72 pages/sec
[04:48:17] Pages: 60, Time: 75.27s, Speed: 0.80 pages/sec
[04:48:26] Pages: 70, Time: 84.45s, Speed: 0.83 pages/sec
[04:48:35] Pages: 80, Time: 93.45s, Speed: 0.86 pages/sec
[04:48:42] Pages: 90, Time: 100.42s, Speed: 0.90 pages/sec
[04:48:53] Pages: 100, Time: 110.81s, Speed: 0.90 pages/sec
[04:49:08] Pages: 110, Time: 126.58s, Speed: 0.87 pages/sec
[04:49:35] Pages: 120, Time: 153.25s, Speed: 0.78 pages/sec
[04:49:45] Pages: 130, Time: 163.51s, Speed: 0.80 pages/sec
[04:49:54] Pages: 140, Time: 171.91s, Speed: 0.81 pages/sec
[04:50:02] Pages: 150, Time: 180.45s, Speed: 0.83 pages/sec
[04:50:11] Pages: 160, Time: 188.82s, Speed: 0.85 pages/sec
[04:50:19] Pages: 170, Time: 196.92s, Speed: 0.86 pages/sec
[04:50:28] Pages: 180, Time: 206.38s, Speed: 0.87 pages/sec
[04:50:37] Pages: 190, Time: 215.65s, Speed: 0.88 pages/sec
[04:50:45] Pages: 200, Time: 223.31s, Speed: 0.90 pages/sec
[04:50:53] Pages: 210, Time: 231.73s, Speed: 0.91 pages/sec
[04:51:02] Pages: 220, Time: 240.22s, Speed: 0.92 pages/sec
[04:51:10] Pages: 230, Time: 248.55s, Speed: 0.93 pages/sec
[04:51:19] Pages: 240, Time: 257.08s, Speed: 0.93 pages/sec
[04:51:27] Pages: 250, Time: 264.83s, Speed: 0.94 pages/sec
[04:51:35] Pages: 260, Time: 273.54s, Speed: 0.95 pages/sec
[04:51:46] Pages: 270, Time: 284.41s, Speed: 0.95 pages/sec
[04:52:35] Pages: 280, Time: 333.44s, Speed: 0.84 pages/sec
[04:52:51] Pages: 290, Time: 349.66s, Speed: 0.83 pages/sec
[04:53:00] Pages: 300, Time: 357.81s, Speed: 0.84 pages/sec
[04:53:08] Pages: 310, Time: 366.61s, Speed: 0.85 pages/sec
[04:53:17] Pages: 320, Time: 374.94s, Speed: 0.85 pages/sec
[04:53:27] Pages: 330, Time: 384.89s, Speed: 0.86 pages/sec
[04:53:35] Pages: 340, Time: 393.17s, Speed: 0.86 pages/sec
[04:53:44] Pages: 350, Time: 402.14s, Speed: 0.87 pages/sec
[04:53:53] Pages: 360, Time: 411.52s, Speed: 0.87 pages/sec
[04:54:10] Pages: 370, Time: 427.87s, Speed: 0.86 pages/sec
[04:54:20] Pages: 380, Time: 438.73s, Speed: 0.87 pages/sec
[04:54:29] Pages: 390, Time: 447.12s, Speed: 0.87 pages/sec
[04:54:37] Pages: 400, Time: 455.00s, Speed: 0.88 pages/sec
[04:54:46] Pages: 410, Time: 464.33s, Speed: 0.88 pages/sec
[04:55:03] Pages: 420, Time: 481.16s, Speed: 0.87 pages/sec
[04:55:10] Pages: 430, Time: 488.16s, Speed: 0.88 pages/sec
[04:55:17] Pages: 440, Time: 495.00s, Speed: 0.89 pages/sec
[04:59:30] Pages: 10, Time: 9.41s, Speed: 1.06 pages/sec
[04:59:39] Pages: 20, Time: 18.28s, Speed: 1.09 pages/sec
[04:59:49] Pages: 30, Time: 27.92s, Speed: 1.07 pages/sec
[05:00:14] Pages: 40, Time: 52.81s, Speed: 0.76 pages/sec
[05:38:00] Pages: 10, Time: 7.65s, Speed: 1.31 pages/sec
[05:39:13] Pages: 10, Time: 14.43s, Speed: 0.69 pages/sec
[05:39:27] Pages: 20, Time: 28.54s, Speed: 0.70 pages/sec
[05:39:37] Pages: 30, Time: 38.59s, Speed: 0.78 pages/sec
[05:39:49] Pages: 40, Time: 50.18s, Speed: 0.80 pages/sec
[05:40:29] Pages: 50, Time: 90.33s, Speed: 0.55 pages/sec
[05:41:21] Pages: 60, Time: 142.42s, Speed: 0.42 pages/sec
[05:41:41] Pages: 70, Time: 161.91s, Speed: 0.43 pages/sec
[05:42:43] Pages: 80, Time: 224.44s, Speed: 0.36 pages/sec
[05:43:05] Pages: 90, Time: 246.20s, Speed: 0.37 pages/sec
[05:45:21] Pages: 100, Time: 382.31s, Speed: 0.26 pages/sec
[05:46:40] Pages: 110, Time: 461.49s, Speed: 0.24 pages/sec
